EmployeeNumber,Gender,Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,HourlyRate,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
23,Female,53,No,Travel_Rarely,Sales,2,Life Sciences,1,78,Manager,4,Married,15427,2,No,16,3,31,3,3,25,8,3,7
24,Male,38,No,Travel_Rarely,Research & Development,2,Life Sciences,4,45,Research Scientist,4,Single,3944,5,Yes,11,3,6,3,3,3,2,1,2
26,Female,24,No,Non-Travel,Research & Development,11,Other,1,96,Manufacturing Director,3,Divorced,4011,0,No,18,3,5,5,2,4,2,1,3
27,Male,36,Yes,Travel_Rarely,Sales,9,Life Sciences,3,82,Sales Representative,1,Single,3407,7,No,23,4,10,4,3,5,3,0,3
28,Female,34,No,Travel_Rarely,Research & Development,7,Life Sciences,1,53,Research Director,2,Single,11994,0,No,11,3,13,4,3,12,6,2,11
30,Male,21,No,Travel_Rarely,Research & Development,15,Life Sciences,3,96,Research Scientist,4,Single,1232,1,No,14,3,0,6,3,0,0,0,0
31,Male,34,Yes,Travel_Rarely,Research & Development,6,Medical,2,83,Research Scientist,1,Single,2960,2,No,11,3,8,2,3,4,2,1,3
32,Female,53,No,Travel_Rarely,Research & Development,5,Other,3,58,Manager,3,Divorced,19094,4,No,11,3,26,3,2,14,13,4,8
33,Female,32,Yes,Travel_Frequently,Research & Development,16,Life Sciences,2,72,Research Scientist,1,Single,3919,1,Yes,22,4,10,5,3,10,2,6,7
35,Male,42,No,Travel_Rarely,Sales,8,Marketing,3,48,Sales Executive,2,Married,6825,0,No,11,3,10,2,3,9,7,4,2
36,Female,44,No,Travel_Rarely,Research & Development,7,Medical,1,42,Healthcare Representative,4,Married,10248,3,No,14,3,24,4,3,22,6,5,17
38,Female,46,No,Travel_Rarely,Sales,2,Marketing,2,83,Manager,1,Single,18947,3,No,12,3,22,2,2,2,2,2,1
39,Male,33,No,Travel_Rarely,Research & Development,2,Medical,3,78,Laboratory Technician,4,Single,2496,4,No,11,3,7,3,3,1,1,0,0
40,Male,44,No,Travel_Rarely,Research & Development,10,Other,4,41,Healthcare Representative,4,Married,6465,2,Yes,13,3,9,5,4,4,2,1,3
41,Male,30,No,Travel_Rarely,Research & Development,9,Medical,4,83,Laboratory Technician,3,Single,2206,1,No,13,3,10,5,3,10,0,1,8
42,Male,39,Yes,Travel_Rarely,Sales,5,Technical Degree,4,56,Sales Representative,4,Married,2086,3,No,14,3,19,6,4,1,0,0,0
45,Male,24,Yes,Travel_Rarely,Research & Development,1,Medical,2,61,Research Scientist,4,Married,2293,2,Yes,16,3,6,2,2,2,0,2,0
46,Female,43,No,Travel_Rarely,Research & Development,2,Medical,4,72,Research Scientist,3,Divorced,2645,1,No,12,3,6,3,2,5,3,1,4
47,Male,50,Yes,Travel_Rarely,Sales,3,Marketing,1,86,Sales Representative,3,Married,2683,1,Yes,14,3,3,2,3,3,2,0,2
49,Female,35,No,Travel_Rarely,Sales,2,Marketing,4,97,Sales Representative,4,Married,2014,1,No,13,3,2,3,3,2,2,2,2
51,Female,36,No,Travel_Rarely,Research & Development,5,Life Sciences,2,82,Research Scientist,1,Married,3419,9,Yes,14,3,6,3,4,1,1,0,0
52,Female,33,No,Travel_Frequently,Sales,1,Life Sciences,3,42,Sales Executive,1,Married,5376,2,No,19,3,10,3,3,5,3,1,3
53,Male,35,No,Travel_Rarely,Research & Development,4,Other,3,75,Laboratory Technician,4,Divorced,1951,1,No,12,3,1,3,3,1,0,0,0
54,Female,27,No,Travel_Rarely,Research & Development,2,Life Sciences,4,33,Laboratory Technician,1,Divorced,2341,1,No,13,3,1,6,3,1,0,0,0
55,Male,26,Yes,Travel_Rarely,Research & Development,25,Life Sciences,1,48,Laboratory Technician,3,Single,2293,1,No,12,3,1,2,2,1,0,0,1
56,Male,27,No,Travel_Frequently,Sales,8,Life Sciences,4,37,Sales Executive,3,Single,8726,1,No,15,3,9,0,3,9,8,1,7
57,Female,30,No,Travel_Frequently,Research & Development,1,Medical,3,58,Laboratory Technician,4,Single,4011,1,No,23,4,12,2,3,12,8,3,7
58,Female,41,Yes,Travel_Rarely,Research & Development,12,Technical Degree,2,49,Research Director,3,Married,19545,1,No,12,3,23,0,3,22,15,15,8
60,Male,34,No,Non-Travel,Sales,23,Marketing,2,,Sales Executive,3,Single,4568,0,No,20,4,10,2,3,9,5,8,7
61,Male,37,No,Travel_Rarely,Research & Development,19,Life Sciences,2,73,Research Scientist,2,Married,3022,4,No,21,4,8,1,3,1,0,0,0
62,Male,46,No,Travel_Frequently,Sales,5,Marketing,1,98,Sales Executive,4,Single,5772,4,Yes,21,4,14,4,3,9,6,0,8
63,Male,35,No,Travel_Rarely,Research & Development,8,Life Sciences,4,36,Laboratory Technician,4,Married,2269,1,No,19,3,1,2,3,1,0,0,1
64,Male,48,Yes,Travel_Rarely,Research & Development,1,Life Sciences,1,98,Laboratory Technician,3,Single,5381,9,Yes,13,3,23,2,3,1,0,0,0
65,Male,28,Yes,Travel_Rarely,Research & Development,5,Technical Degree,3,50,Laboratory Technician,3,Single,3441,1,Yes,13,3,2,3,2,2,2,2,2
68,Female,44,No,Travel_Rarely,Sales,1,Marketing,2,75,Sales Executive,1,Divorced,5454,5,Yes,21,4,9,2,2,4,3,1,3
70,Male,35,No,Non-Travel,Research & Development,11,Medical,3,79,Healthcare Representative,1,Married,9884,2,Yes,13,3,10,3,3,4,0,2,3
72,Female,26,No,Travel_Rarely,Sales,23,Marketing,3,47,Sales Executive,4,Married,4157,7,Yes,19,3,5,2,2,2,2,0,0
73,Female,33,No,Travel_Frequently,Research & Development,1,Life Sciences,1,98,Research Director,4,Single,13458,1,Yes,12,3,15,1,3,15,14,8,12
74,Male,35,No,Travel_Frequently,Sales,18,Life Sciences,2,71,Sales Executive,1,Married,9069,1,No,22,4,9,3,2,9,8,1,8
75,Female,35,No,Travel_Rarely,Research & Development,23,Medical,3,30,Laboratory Technician,1,Married,4014,3,Yes,15,3,4,3,3,2,2,2,2
76,Male,31,No,Travel_Rarely,Research & Development,7,Life Sciences,4,48,Laboratory Technician,4,Divorced,5915,3,No,22,4,10,3,2,7,7,1,7
77,Male,37,No,Travel_Rarely,Research & Development,1,Life Sciences,1,51,Manufacturing Director,3,Divorced,5993,1,No,18,3,7,2,4,7,5,0,7
78,Male,32,No,Travel_Rarely,Research & Development,1,Medical,1,33,Manufacturing Director,4,Married,6162,1,Yes,22,4,9,3,3,9,8,7,8
79,Female,38,No,Travel_Frequently,Research & Development,29,Life Sciences,4,50,Laboratory Technician,4,Single,2406,1,No,11,3,10,2,3,10,3,9,9
80,Female,50,No,Travel_Rarely,Research & Development,7,Medical,2,43,Research Director,3,Divorced,18740,5,Yes,12,3,29,2,2,27,3,13,8
81,Female,59,No,Travel_Rarely,Sales,25,Life Sciences,1,99,Sales Executive,1,Single,7637,7,No,11,3,28,3,2,21,16,7,9
83,Female,36,No,Travel_Rarely,Research & Development,8,Technical Degree,3,59,Healthcare Representative,3,Divorced,10096,1,No,13,3,17,2,3,17,14,12,8
84,Female,55,No,Travel_Rarely,Research & Development,8,Medical,4,33,Manager,3,Divorced,14756,2,Yes,14,3,21,2,3,5,0,0,2
85,Male,36,No,Travel_Frequently,Research & Development,11,Life Sciences,2,95,Manufacturing Director,2,Single,6499,1,No,13,3,6,3,3,6,5,0,3
86,Male,45,No,Travel_Rarely,Research & Development,7,Life Sciences,2,59,Research Scientist,1,Divorced,9724,2,No,17,3,25,2,3,1,0,0,0
88,Male,35,No,Travel_Frequently,Research & Development,1,Medical,2,79,Research Scientist,1,Married,2194,4,No,13,3,5,2,2,3,2,1,2
90,Male,36,Yes,Travel_Rarely,Research & Development,9,Medical,4,79,Research Scientist,3,Married,3388,0,Yes,17,3,2,0,2,1,0,0,0
91,Female,59,No,Travel_Frequently,Sales,1,Life Sciences,1,57,Sales Executive,3,Single,5473,7,No,11,3,20,2,2,4,3,1,3
94,Male,29,No,Travel_Rarely,Research & Development,2,Life Sciences,3,76,Research Scientist,2,Married,2703,0,No,23,4,6,3,3,5,4,0,4
95,Male,31,No,Travel_Rarely,Research & Development,1,Medical,3,87,Research Scientist,2,Single,2501,1,No,17,3,1,4,3,1,1,1,0
96,Male,32,No,Travel_Rarely,Research & Development,1,Life Sciences,2,66,Research Scientist,2,Married,6220,1,No,17,3,10,3,3,10,4,0,9
97,Female,36,No,Travel_Rarely,Research & Development,6,Life Sciences,2,55,Laboratory Technician,4,Married,3038,3,No,12,3,5,3,3,1,0,0,0
98,Female,31,No,Travel_Rarely,Research & Development,8,Life Sciences,3,61,Manufacturing Director,4,Single,4424,1,No,23,4,11,2,3,11,7,1,8
100,Male,35,No,Travel_Rarely,Sales,1,Marketing,3,32,Sales Executive,1,Single,4312,0,No,14,3,16,2,3,15,13,2,8
101,Male,45,No,Travel_Rarely,Research & Development,6,Other,4,52,Research Director,1,Married,13245,4,Yes,14,3,17,3,4,0,0,0,0
102,Male,37,No,Travel_Rarely,Research & Development,7,Medical,1,30,Research Director,3,Single,13664,4,No,13,3,16,3,4,5,2,0,2
103,Male,46,No,Travel_Rarely,Human Resources,5,Medical,2,80,Human Resources,2,Divorced,5021,8,Yes,22,4,16,2,3,4,2,0,2
104,Male,30,No,Travel_Rarely,Research & Development,1,Life Sciences,4,55,Laboratory Technician,4,Married,5126,1,Yes,12,3,10,1,2,10,8,3,0
105,Male,35,No,Travel_Rarely,Research & Development,1,Medical,2,30,Research Scientist,3,Single,2859,1,No,18,3,6,3,3,6,4,0,4
106,Male,55,No,Travel_Rarely,Sales,1,Life Sciences,1,70,Sales Executive,4,Married,10239,3,No,14,3,24,4,3,1,0,1,0
107,Female,38,No,Non-Travel,Research & Development,6,Medical,2,79,Research Scientist,4,Divorced,5329,7,Yes,12,3,17,3,3,13,11,1,9
110,Male,34,No,Travel_Rarely,Research & Development,1,Medical,1,94,Manufacturing Director,2,Married,4325,1,No,15,3,5,2,3,5,2,1,3
112,Male,56,No,Travel_Rarely,Research & Development,7,Life Sciences,4,49,Manufacturing Director,4,Single,7260,4,No,11,3,37,3,2,6,4,0,2
113,Male,23,No,Travel_Rarely,Sales,2,Technical Degree,3,62,Sales Representative,1,Divorced,2322,3,No,13,3,3,3,3,0,0,0,0
116,Male,51,No,Travel_Rarely,Research & Development,9,Life Sciences,4,96,Laboratory Technician,4,Married,2075,3,No,23,4,10,4,3,4,2,0,3
117,Male,30,No,Travel_Rarely,Research & Development,2,Life Sciences,3,99,Healthcare Representative,4,Married,4152,1,No,19,3,11,3,3,11,10,10,8
118,Male,46,Yes,Travel_Rarely,Sales,9,Medical,3,64,Sales Executive,4,Single,9619,1,No,16,3,9,3,3,9,8,4,7
119,Male,40,No,Travel_Frequently,Research & Development,1,Life Sciences,3,78,Healthcare Representative,2,Married,13503,1,No,22,4,22,3,2,22,3,11,11
120,Male,51,No,Travel_Rarely,Sales,21,Marketing,3,71,Sales Executive,4,Single,5441,0,Yes,22,4,11,2,1,10,7,1,0
121,Female,30,No,Travel_Rarely,Sales,4,Medical,3,63,Sales Executive,2,Divorced,5209,1,Yes,12,3,11,4,2,11,8,2,7
124,Male,46,No,Travel_Frequently,Research & Development,1,Medical,3,40,Healthcare Representative,1,Married,10673,2,Yes,13,3,21,5,2,10,9,9,5
125,Male,32,No,Travel_Rarely,Sales,6,Medical,2,87,Sales Executive,3,Single,5010,1,No,16,3,12,0,3,11,8,5,7
126,Female,54,No,Travel_Rarely,Research & Development,2,Technical Degree,1,60,Research Director,3,Married,13549,9,No,12,3,16,5,1,4,3,0,3
128,Female,24,No,Travel_Rarely,Sales,3,Other,1,33,Sales Executive,3,Married,4999,0,No,21,4,4,2,2,3,2,0,2
129,Male,28,No,Non-Travel,Sales,4,Medical,2,43,Sales Executive,3,Married,4221,1,No,15,3,5,3,4,5,4,0,4
131,Male,58,No,Travel_Rarely,Sales,10,Medical,4,37,Sales Executive,3,Single,13872,0,No,13,3,38,1,2,37,10,1,8
132,Male,44,No,Non-Travel,Research & Development,23,Medical,2,67,Laboratory Technician,2,Married,2042,4,No,12,3,17,3,4,3,2,1,2
133,Male,37,Yes,Travel_Rarely,Human Resources,6,Human Resources,3,63,Human Resources,1,Divorced,2073,4,Yes,22,4,7,3,3,3,2,0,2
134,Male,32,No,Travel_Rarely,Research & Development,1,Life Sciences,4,71,Research Scientist,1,Single,2956,1,No,13,3,1,2,3,1,0,0,0
137,Female,20,Yes,Travel_Frequently,Research & Development,6,Life Sciences,4,66,Laboratory Technician,4,Single,2926,1,Yes,18,3,1,5,3,1,0,1,0
138,Female,34,No,Travel_Rarely,Research & Development,6,Other,1,41,Research Scientist,3,Single,4809,1,No,14,3,16,3,3,16,13,2,10
139,Male,37,No,Non-Travel,Research & Development,2,Life Sciences,3,100,Healthcare Representative,4,Divorced,5163,5,No,14,3,17,2,4,1,0,0,0
140,Female,59,No,Non-Travel,Human Resources,2,Human Resources,3,32,Manager,4,Married,18844,9,No,21,4,30,3,3,3,2,2,2
141,Female,50,No,Travel_Frequently,Research & Development,1,Life Sciences,1,73,Research Director,2,Married,18172,3,Yes,19,3,28,1,2,8,3,0,7
142,Male,25,Yes,Travel_Rarely,Sales,5,Marketing,3,46,Sales Executive,3,Single,5744,1,Yes,11,3,6,1,3,6,4,0,3
143,Male,25,No,Travel_Rarely,Research & Development,7,Medical,4,64,Research Scientist,4,Married,2889,1,No,11,3,2,2,3,2,2,2,1
144,Female,22,No,Travel_Rarely,Research & Development,15,Medical,2,59,Laboratory Technician,4,Single,2871,1,No,15,3,1,5,3,0,0,0,0
145,Female,51,No,Travel_Frequently,Research & Development,1,Medical,1,30,Healthcare Representative,1,Single,7484,3,No,20,4,23,1,2,13,12,12,8
147,Male,34,Yes,Travel_Frequently,Research & Development,7,Life Sciences,1,66,Laboratory Technician,3,Single,6074,1,Yes,24,4,9,3,3,9,7,0,6
148,Female,54,No,Non-Travel,Human Resources,26,Human Resources,4,30,Manager,4,Single,17328,2,Yes,12,3,23,3,3,5,3,4,4
150,Male,24,No,Travel_Rarely,Research & Development,18,Life Sciences,2,52,Laboratory Technician,3,Married,2774,0,No,12,3,6,2,3,5,3,1,2
151,Female,34,No,Travel_Rarely,Research & Development,6,Life Sciences,3,45,Research Scientist,2,Divorced,4505,6,No,15,3,12,3,3,1,0,0,0
152,Male,37,No,Travel_Rarely,Sales,3,Life Sciences,3,87,Sales Executive,4,Single,7428,2,No,12,3,12,3,3,5,3,1,3
153,Female,34,No,Travel_Rarely,Research & Development,5,Medical,3,45,Manager,1,Single,11631,2,No,12,3,14,6,3,11,10,5,8
154,Female,36,No,Travel_Frequently,Sales,11,Technical Degree,2,92,Sales Executive,4,Married,9738,0,No,14,3,10,6,3,9,7,2,8
155,Female,36,No,Travel_Rarely,Research & Development,3,Life Sciences,1,39,Laboratory Technician,4,Divorced,2835,5,No,22,4,7,2,3,1,0,0,0
158,Male,43,No,Travel_Frequently,Sales,26,Life Sciences,3,92,Manager,4,Married,16959,1,Yes,12,3,25,3,4,25,12,4,12
159,Male,30,No,Travel_Frequently,Research & Development,23,Life Sciences,1,96,Research Scientist,3,Divorced,2613,1,No,25,4,10,2,2,10,7,0,9
160,Male,33,No,Non-Travel,Sales,22,Marketing,3,95,Sales Executive,2,Married,6146,0,No,13,3,8,2,4,7,7,0,7
161,Female,56,Yes,Travel_Rarely,Research & Development,14,Life Sciences,2,72,Research Scientist,2,Married,4963,9,Yes,18,3,7,2,3,5,4,4,3
162,Male,51,No,Travel_Rarely,Research & Development,6,Life Sciences,1,51,Research Director,3,Single,19537,7,No,13,3,23,5,3,20,18,15,15
163,Male,31,Yes,Travel_Rarely,Sales,6,Life Sciences,2,76,Sales Executive,3,Married,6172,4,Yes,18,3,12,3,2,7,7,7,7
164,Female,26,No,Travel_Rarely,Research & Development,6,Other,3,46,Research Scientist,2,Married,2368,1,No,19,3,5,3,2,5,4,4,3
165,Female,58,Yes,Travel_Rarely,Research & Development,23,Medical,4,94,Healthcare Representative,4,Married,10312,1,No,12,3,40,3,2,40,10,15,6
167,Male,19,Yes,Travel_Rarely,Sales,22,Marketing,4,50,Sales Representative,3,Single,1675,1,Yes,19,3,0,2,2,0,0,0,0
169,Male,22,No,Travel_Rarely,Research & Development,2,Technical Degree,3,100,Laboratory Technician,4,Married,2523,0,No,14,3,3,2,3,2,1,2,1
170,Female,49,No,Travel_Rarely,Research & Development,20,Medical,3,96,Manufacturing Director,1,Married,6567,1,No,14,3,16,2,2,15,11,5,11
171,Female,43,No,Travel_Frequently,Research & Development,28,Medical,2,72,Research Scientist,3,Single,4739,4,No,12,3,18,2,3,3,2,1,2
174,Female,50,No,Travel_Frequently,Sales,12,Marketing,3,77,Sales Executive,4,Single,9208,4,No,11,3,16,3,3,2,2,2,1
175,Female,31,Yes,Travel_Rarely,Sales,20,Life Sciences,2,71,Sales Executive,3,Married,4559,3,Yes,11,3,4,2,3,2,2,2,2
176,Male,41,No,Travel_Rarely,Sales,9,Life Sciences,3,96,Sales Executive,3,Divorced,8189,3,Yes,13,3,12,2,3,9,7,0,7
177,Female,26,No,Travel_Rarely,Human Resources,25,Life Sciences,3,61,Human Resources,3,Married,2942,1,No,23,4,8,3,3,8,7,5,7
178,Male,36,No,Travel_Rarely,Research & Development,6,Medical,2,84,Manufacturing Director,2,Divorced,4941,6,No,20,4,7,0,3,3,2,0,1
179,Male,51,Yes,Travel_Frequently,Research & Development,8,Life Sciences,1,53,Manufacturing Director,4,Single,10650,2,No,15,3,18,2,3,4,2,0,3
182,Female,39,No,Travel_Rarely,Sales,4,Life Sciences,4,47,Sales Executive,3,Married,5902,4,No,14,3,17,1,4,15,11,5,9
183,Male,25,No,Travel_Rarely,Sales,28,Life Sciences,1,41,Sales Executive,3,Married,8639,2,No,18,3,6,3,3,2,2,2,2
184,Male,30,No,Travel_Rarely,Human Resources,9,Human Resources,3,48,Human Resources,4,Married,6347,0,Yes,19,3,12,2,1,11,9,4,7
190,Female,32,Yes,Travel_Rarely,Research & Development,9,Medical,1,41,Laboratory Technician,1,Single,4200,7,No,22,4,10,2,4,5,4,0,4
192,Male,45,No,Travel_Rarely,Research & Development,29,Medical,3,83,Research Scientist,4,Single,3452,5,No,13,3,9,2,2,6,5,0,3
193,Female,38,No,Travel_Rarely,Research & Development,3,Technical Degree,4,32,Research Scientist,3,Single,4317,3,Yes,20,4,19,2,3,3,2,2,2
194,Female,30,No,Travel_Rarely,Research & Development,18,Life Sciences,1,75,Research Scientist,3,Single,2632,1,No,14,3,5,4,2,5,4,0,4
195,Male,32,No,Travel_Frequently,Sales,9,Medical,4,35,Sales Executive,4,Divorced,4668,0,No,17,3,9,2,4,8,7,0,7
197,Female,30,No,Travel_Rarely,Research & Development,5,Technical Degree,4,84,Research Scientist,1,Divorced,3204,5,No,14,3,8,3,3,3,2,2,2
198,Male,30,No,Travel_Rarely,Research & Development,2,Medical,2,35,Laboratory Technician,4,Single,2720,0,No,13,3,6,3,3,5,3,1,2
199,Male,41,No,Travel_Frequently,Research & Development,10,Life Sciences,4,91,Manager,1,Divorced,17181,4,No,13,3,21,2,2,7,6,7,7
200,Male,41,No,Travel_Rarely,Research & Development,9,Life Sciences,3,94,Laboratory Technician,1,Married,2238,2,No,21,4,7,2,3,5,0,1,4
201,Female,19,No,Travel_Rarely,Research & Development,3,Medical,2,79,Laboratory Technician,2,Single,1483,1,No,14,3,1,3,3,1,0,0,0
202,Female,40,No,Travel_Frequently,Research & Development,26,Medical,2,54,Research Scientist,2,Divorced,5605,1,No,11,3,20,2,3,20,7,2,13
204,Male,35,No,Travel_Rarely,Sales,1,Marketing,3,94,Sales Executive,2,Married,7295,1,No,13,3,10,3,3,10,8,0,6
205,Male,53,No,Travel_Rarely,Sales,6,Marketing,2,34,Sales Representative,3,Married,2306,2,Yes,20,4,13,3,1,7,7,4,5
206,Male,45,No,Travel_Rarely,Research & Development,9,Life Sciences,2,60,Laboratory Technician,2,Divorced,2348,8,No,18,3,20,2,1,17,9,0,15
207,Female,32,No,Travel_Frequently,Sales,8,Marketing,2,43,Sales Executive,4,Single,8998,1,No,14,3,9,2,3,9,8,3,7
208,Male,29,No,Non-Travel,Research & Development,1,Technical Degree,4,41,Manufacturing Director,3,Married,4319,1,No,13,3,10,1,3,10,7,0,9
211,Male,51,No,Travel_Rarely,Research & Development,7,Medical,2,34,Manufacturing Director,3,Married,6132,2,No,17,3,10,2,3,1,0,0,0
214,Female,58,No,Travel_Rarely,Research & Development,9,Medical,2,75,Research Scientist,2,Married,3346,4,Yes,20,4,9,3,2,1,0,0,0
215,Male,40,No,Travel_Rarely,Sales,4,Marketing,3,67,Sales Executive,4,Married,10855,7,No,11,3,15,2,2,12,11,2,11
216,Female,34,No,Travel_Frequently,Sales,2,Marketing,3,75,Sales Representative,3,Married,2231,6,No,18,3,6,3,3,4,3,1,2
217,Male,22,No,Travel_Rarely,Research & Development,19,Medical,3,80,Research Scientist,4,Married,2323,1,No,24,4,2,6,3,2,2,2,2
218,Male,27,No,Non-Travel,Research & Development,9,Medical,4,57,Research Scientist,2,Divorced,2024,6,No,18,3,6,1,1,2,2,2,2
221,Male,28,No,Travel_Rarely,Research & Development,21,Medical,3,42,Research Scientist,4,Married,2713,1,No,11,3,5,2,1,5,2,0,2
223,Male,57,No,Travel_Rarely,Research & Development,24,Life Sciences,3,83,Healthcare Representative,4,Divorced,9439,3,Yes,16,3,12,2,1,5,3,1,4
224,Male,27,No,Non-Travel,Research & Development,3,Medical,3,79,Research Scientist,3,Divorced,2566,1,Yes,15,3,1,2,2,1,1,0,1
226,Female,50,No,Travel_Rarely,Research & Development,11,Life Sciences,3,53,Manager,2,Single,19926,3,No,15,3,21,5,3,5,4,4,4
227,Male,41,No,Travel_Rarely,Research & Development,14,Life Sciences,1,56,Research Scientist,3,Divorced,2451,4,No,12,3,13,2,3,9,8,1,8
228,Female,30,No,Travel_Rarely,Sales,5,Life Sciences,2,41,Sales Executive,4,Married,9419,2,No,12,3,12,2,3,10,9,7,4
230,Female,38,No,Travel_Rarely,Sales,1,Life Sciences,1,59,Sales Executive,4,Single,8686,4,No,22,4,12,2,4,8,3,0,7
231,Male,32,No,Travel_Rarely,Research & Development,6,Life Sciences,3,43,Research Scientist,3,Single,3038,3,No,20,4,8,2,3,5,4,1,4
233,Male,27,No,Travel_Rarely,Research & Development,17,Technical Degree,3,51,Research Scientist,2,Married,3058,0,Yes,16,3,6,3,2,5,2,1,1
235,Female,19,Yes,Travel_Frequently,Sales,1,Technical Degree,3,100,Sales Representative,1,Single,2325,0,No,21,4,1,5,4,0,0,0,0
238,Male,36,No,Travel_Frequently,Research & Development,3,Medical,4,30,Laboratory Technician,2,Single,2088,4,No,12,3,13,3,2,8,7,7,2
239,Male,30,No,Non-Travel,Research & Development,9,Medical,3,66,Laboratory Technician,1,Divorced,3072,1,No,11,3,12,4,3,12,9,6,10
240,Female,45,No,Travel_Rarely,Sales,4,Life Sciences,3,30,Sales Executive,1,Divorced,5006,4,Yes,11,3,9,3,4,5,4,0,3
241,Female,56,No,Travel_Rarely,Research & Development,8,Life Sciences,3,67,Research Scientist,1,Divorced,4257,4,Yes,18,3,19,3,3,2,2,2,2
242,Male,33,No,Travel_Rarely,Research & Development,2,Life Sciences,3,90,Research Scientist,4,Single,2500,0,No,14,3,4,2,4,3,1,0,2
243,Male,19,Yes,Travel_Rarely,Research & Development,2,Life Sciences,2,47,Laboratory Technician,4,Single,1102,1,No,22,4,1,3,2,1,0,1,0
244,Female,46,No,Travel_Rarely,Sales,1,Marketing,2,92,Sales Executive,1,Divorced,10453,1,No,25,4,24,2,3,24,13,15,7
245,Female,38,No,Travel_Rarely,Research & Development,9,Life Sciences,3,75,Laboratory Technician,4,Single,2288,1,No,12,,2,3,3,2,2,2,1
246,Female,31,No,Travel_Rarely,Research & Development,12,Medical,3,95,Research Scientist,4,Married,3929,8,Yes,23,4,7,0,3,4,2,0,2
247,Female,34,No,Travel_Rarely,Research & Development,27,Medical,4,95,Research Scientist,2,Single,2311,2,No,15,3,9,3,3,3,2,1,2
248,Female,41,Yes,Travel_Rarely,Sales,20,Marketing,2,70,Sales Representative,2,Single,3140,1,Yes,22,4,4,5,2,4,3,0,2
249,Male,50,No,Travel_Rarely,Research & Development,1,Medical,3,86,Laboratory Technician,3,Married,3690,2,No,15,3,5,2,2,3,2,0,2
